Zaciatok_vykazovania,Koniec_vykazovania,Nazov_kampane,Dorucenie_kampane,Rozpocet_zostavy_reklam,Typ_rozpoctu_zostavy_reklam,Nastavenie_pric__tania,Vysledky,Result_indicator,Dosah,Impresie,Cena_za_vysledky,Minuta_suma__EUR_,Koniec
2024-07-01,2025-03-09,AV | PTG | posty zaří -SK,active,8,Denne,7-day click or 1-day view,287,actions:offsite_conversion.fb_pixel_purchase,124717,656273,6.37606272,1829.93,Prebieha
2024-07-01,2025-03-09,AV_CONV_PROSP_BAN+CAT,active,Using ad set budget,0,"7-day click, 1-day view, or 1-day engaged-view",314,actions:offsite_conversion.fb_pixel_purchase,156354,973943,5.96343949,1872.52,Prebieha
2024-07-01,2025-03-09,AV_A+_PROSP+CONV_BAN,active,Using ad set budget,0,"7-day click, 1-day view, or 1-day engaged-view",60,actions:offsite_conversion.fb_pixel_purchase,27700,99430,4.668,280.08,Prebieha
2024-07-01,2025-03-09,AV_ADV+PROSP_Katalog_EC,active,Using ad set budget,0,"7-day click, 1-day view, or 1-day engaged-view",2,actions:offsite_conversion.fb_pixel_purchase,4498,7840,8.615,17.23,Prebieha
2024-07-01,2025-03-09,AV | PTG | Advantage - Catalog - SK Campaign,active,Using ad set budget,0,7-day click or 1-day view,1263,actions:offsite_conversion.fb_pixel_purchase,335901,3157257,6.75258907,8528.52,Prebieha
2024-07-01,2025-03-09,AV_Video  Kampaň,inactive,Using ad set budget,0,7-day click or 1-day view,192,actions:offsite_conversion.fb_pixel_purchase,120698,453103,7.38770833,1418.44,Prebieha
2024-07-01,2025-03-09,Test Kampaň,inactive,Using ad set budget,0,7-day click or 1-day view,,,2248,3513,,15.21,Prebieha
2024-07-01,2025-03-09,AV | PTG | posty Campaign,inactive,Using ad set budget,0,1-day click,2,actions:offsite_conversion.fb_pixel_purchase,10728,14402,19.995,39.99,Prebieha
2024-07-01,2025-03-09,AV_Akce-Killa Kampaň,inactive,Using ad set budget,0,7-day click or 1-day view,16,actions:offsite_conversion.fb_pixel_purchase,12882,23608,4.150625,66.41,Prebieha
2024-07-01,2025-03-09,CZ | Adview | PTG | Advantage+  Campaign,inactive,Using ad set budget,0,7-day click or 1-day view,32,actions:offsite_conversion.fb_pixel_purchase,18754,59118,6.6546875,212.95,2024-08-31
2024-07-01,2025-03-09,AV_Akce Iceberg-SK Campaign,inactive,Using ad set budget,0,7-day click or 1-day view,28,actions:offsite_conversion.fb_pixel_purchase,17087,45097,5.335,149.38,Prebieha
2024-07-01,2025-03-09,AV_A+_CONV+PROSP_VIdea Kampaň,inactive,Using ad set budget,0,"7-day click, 1-day view, or 1-day engaged-view",19,actions:offsite_conversion.fb_pixel_purchase,12055,18140,3.05473684,58.04,Prebieha
