string_field_0,string_field_1,string_field_2,string_field_3,string_field_4,string_field_5,string_field_6,string_field_7
Kľúčové slovo pre reklamu vo vyhľadávaní,Typ zhody,Stav kritéria,Stav kampane,Stav reklamnej skupiny,Cena,Kliknutia,MP
nicolips,Voľná zhoda,Aktívne,Aktívne,Aktívne,1 244.06 ,3 727,17.38 %
nicopod,Voľná zhoda,Odstránené,Pozastavené,Aktívne,69.57 ,26,9.09 %
Pablo,Voľná zhoda,Aktívne,Pozastavené,Aktívne,66.41 ,42,4.75 %
nikotininak,Voľná zhoda,Odstránené,Pozastavené,Aktívne,57.34 ,12,11.88 %
nicopods sk,Voľná zhoda,Odstránené,Pozastavené,Aktívne,46.75 ,19,29.69 %
nico sk,Voľná zhoda,Odstránené,Pozastavené,Aktívne,43.24 ,10,3.98 %
vika,Frázová zhoda,Aktívne,Pozastavené,Aktívne,30.18 ,8,3.04 %
nicopod,Frázová zhoda,Aktívne,Pozastavené,Aktívne,29.89 ,14,23.73 %
pablo ice cold,Frázová zhoda,Aktívne,Pozastavené,Aktívne,29.31 ,15,9.26 %
siberia,Frázová zhoda,Aktívne,Pozastavené,Aktívne,22.39 ,9,7.50 %
zuvaj sk,Voľná zhoda,Odstránené,Pozastavené,Aktívne,17.19 ,7,26.92 %
nicopods sk,Presná zhoda,Aktívne,Pozastavené,Aktívne,15.76 ,3,20.00 %
velo freeze,Frázová zhoda,Aktívne,Pozastavené,Aktívne,12.30 ,1,5.00 %
gymbeam,Voľná zhoda,Aktívne,Pozastavené,Pozastavené,6.53 ,3,1.60 %
nikotininak,Presná zhoda,Aktívne,Pozastavené,Aktívne,5.39 ,2,25.00 %
e-cigarety,Voľná zhoda,Aktívne,Pozastavené,Pozastavené,4.97 ,11,4.35 %
ace superwhite,Frázová zhoda,Aktívne,Pozastavené,Aktívne,4.76 ,2,15.38 %
hokej,Voľná zhoda,Aktívne,Pozastavené,Pozastavené,2.90 ,3,0.61 %
nikotínové vrecúška,Voľná zhoda,Aktívne,Pozastavené,Pozastavené,0.60 ,2,11.11 %
mma,Voľná zhoda,Aktívne,Pozastavené,Pozastavené,0.41 ,1,0.85 %
snusim,Voľná zhoda,Aktívne,Pozastavené,Pozastavené,0.32 ,1,33.33 %
nicopods,Voľná zhoda,Aktívne,Pozastavené,Pozastavené,0.28 ,1,100.00 %
nicolips,Voľná zhoda,Aktívne,Pozastavené,Pozastavené,0.06 ,6,54.55 %
kulturistika,Voľná zhoda,Aktívne,Pozastavené,Pozastavené,0.00 ,0,0.00 %
Maradona,Voľná zhoda,Aktívne,Pozastavené,Pozastavené,0.00 ,0,0.00 %
Killa,Voľná zhoda,Aktívne,Pozastavené,Pozastavené,0.00 ,0,0.00 %
czechpods,Voľná zhoda,Aktívne,Pozastavené,Pozastavené,0.00 ,0,0.00 %
žuvak,Voľná zhoda,Aktívne,Pozastavené,Pozastavené,0.00 ,0,0.00 %
zuvaj sk,Presná zhoda,Aktívne,Pozastavené,Aktívne,0.00 ,0,0.00 %
lyft velo,Frázová zhoda,Aktívne,Pozastavené,Aktívne,0.00 ,0,0.00 %
pablo,Voľná zhoda,Aktívne,Aktívne,Aktívne,0.00 ,0,0.00 %
